Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T17:59:00.000Z,,,0,0.06
2025-11-18T17:59:00.000Z,whatsapp.net,Facebook,2.036,2.306
2025-11-18T17:57:00.000Z,whatsapp.com,Facebook,0.228,0
2025-11-18T17:56:00.000Z,whatsapp.com,Facebook,0.432,0
2025-11-18T17:56:00.000Z,,,0,0.138
2025-11-18T17:56:00.000Z,googleapis.com,Google,38.192,117.817
2025-11-18T17:56:00.000Z,whatsapp.net,Facebook,0.26,0.394
2025-11-18T17:55:00.000Z,whatsapp.com,Facebook,4.593,2.438
2025-11-18T17:55:00.000Z,whatsapp.net,Facebook,3.497,3.379
2025-11-18T17:55:00.000Z,,,0,0.132
2025-11-18T17:55:00.000Z,googleapis.com,Google,10.321,12.827
2025-11-18T17:54:00.000Z,googleapis.com,Google,0.212,0.18
